x y z
4.60117697 -1.900212301 0.718913168
4.596870014 -1.893471456 0.763491017
4.591349537 -1.888650538 0.810575215
4.587151341 -1.884822793 0.85581848
4.585981121 -1.883720458 0.896765978
4.587221567 -1.881618362 0.924317485
4.588854934 -1.877159527 0.924010147
4.592209113 -1.874037383 0.891773491
4.597116168 -1.873411411 0.838269994
4.603245061 -1.873972523 0.779376794
4.609262656 -1.875972939 0.726406715
4.61494348 -1.877768431 0.687237309
4.619580183 -1.87867307 0.662802428
4.622743458 -1.878478786 0.662832595
4.623233016 -1.877234428 0.690110236
4.620489759 -1.87438768 0.739271919
4.614354152 -1.870096496 0.798905887
4.607090313 -1.864538228 0.861128712
4.608098335 -1.862408605 0.925103936
4.605375 -1.857707979 0.969930564
4.603631966 -1.853843143 0.983998635
4.603122365 -1.851696274 0.963954865
4.603596186 -1.852303552 0.9188853
4.605567723 -1.854970091 0.863933116
4.608613206 -1.860857272 0.806636432
4.611604648 -1.868176998 0.750609333
4.615174114 -1.874388093 0.700360315
4.617967417 -1.877815099 0.669706086
4.620091455 -1.878165018 0.666946212
4.619805919 -1.876923886 0.697985752
4.616482761 -1.872486645 0.750656152
4.60979766 -1.864345548 0.813612716
4.603054793 -1.859320372 0.881527498
4.597090145 -1.85561652 0.949893294
4.593888977 -1.853501952 1.010405647
4.599209137 -1.856854546 1.044623129
4.600212011 -1.854281474 1.04060563
4.600844226 -1.854260116 1.004232038
4.601527405 -1.855467562 0.946005892
4.602141953 -1.85627242 0.880483071
4.604963228 -1.85999975 0.811914827
4.610976867 -1.865396044 0.748152352
4.616901237 -1.867773455 0.694300588
4.620947976 -1.869148721 0.666629879
4.624292769 -1.869117338 0.674321918
4.625103675 -1.867811108 0.717149379
4.623571236 -1.864565524 0.781379238
4.618958058 -1.860832182 0.853223268
4.614042746 -1.860167791 0.920077781
4.61121034 -1.861417148 0.980084867
4.605332012 -1.861374772 1.026672633
4.601087014 -1.861168332 1.04635361
4.600780197 -1.860121547 1.03061718
4.601828261 -1.861011983 0.98694086
4.60226427 -1.862347795 0.929239427
4.60269867 -1.862683707 0.867170839
4.602260625 -1.862575685 0.806987118
4.602468082 -1.865881469 0.757868242
4.6033774 -1.867533082 0.72116245
4.603859684 -1.86782498 0.699530284
4.604196233 -1.867634834 0.701154773
4.6035661 -1.869403235 0.732017285
4.601829907 -1.8729366 0.784483586
4.597759974 -1.874113716 0.848290442
4.593666369 -1.873732153 0.916681802
4.590671533 -1.873209909 0.983717154
4.590225247 -1.873593503 1.045757073
4.592047206 -1.873737099 1.079646536
4.593735403 -1.873747104 1.080991796
4.593852799 -1.873116477 1.05255561
4.594197908 -1.872473496 1.002199147
4.595449245 -1.869288335 0.945188152
4.600345812 -1.866154535 0.895899164
4.606199761 -1.863747804 0.856444051
4.613820403 -1.86661367 0.824541872
4.620928186 -1.869276071 0.800939559
4.62788293 -1.872033512 0.787528367
4.63809901 -1.877719367 0.782505588
4.647412212 -1.882052298 0.783496459
4.654419697 -1.884474188 0.787810627
4.662389238 -1.887295491 0.791909223
4.673406036 -1.890236609 0.790626567
4.685951569 -1.894108584 0.785775464
4.696326515 -1.895862817 0.781004015
4.69921026 -1.896204902 0.78126364
4.697562201 -1.896713505 0.785928441
4.696962667 -1.897641208 0.790492412
4.699404179 -1.900153126 0.792740039
4.704002121 -1.905711489 0.793585374
4.708480751 -1.913847271 0.794208169
4.711862624 -1.92206958 0.796817924
4.715047765 -1.929277109 0.802084719
4.720986447 -1.935961523 0.805424756
4.72731528 -1.942841205 0.805518193
4.72931626 -1.947958437 0.805996548
4.728532766 -1.952737739 0.807897546
4.72774433 -1.95684661 0.809255065
4.726977284 -1.959392041 0.807915431
4.725662015 -1.960306531 0.806403496
4.724361352 -1.960327027 0.805406155
4.724206706 -1.956815359 0.80454897
4.725875769 -1.945689657 0.80362922
4.729351963 -1.924524206 0.802491364
4.732082466 -1.893454479 0.802142407
4.733548308 -1.853677733 0.802670808
4.735733883 -1.80765139 0.802258136
4.73902401 -1.757220159 0.801102317
4.743281518 -1.704590423 0.801136299
4.746824554 -1.652367891 0.802069011
4.750542916 -1.60099152 0.801115411
4.755000701 -1.559200902 0.797639822
4.760590646 -1.523098905 0.792485035
4.76321009 -1.494199271 0.789338098
4.762669511 -1.476241596 0.785770206
4.763576532 -1.46567804 0.781659613
4.764303647 -1.462862714 0.777389029
4.765473774 -1.463055369 0.772714148
4.764828764 -1.468752246 0.773078815
4.761782523 -1.482515444 0.776681213
4.757545352 -1.505970514 0.779871381
4.750190112 -1.539783296 0.782520963
4.741258466 -1.58276837 0.785951728
4.730990533 -1.633561487 0.790923088
4.719174079 -1.687102703 0.793778214
4.704845046 -1.742863265 0.794912762
4.687678763 -1.800700831 0.795362084
4.671459667 -1.856135551 0.793815126
4.658174308 -1.906942786 0.790213356
4.648267377 -1.953064781 0.785250181
4.640616172 -1.988291098 0.78103983
4.635938999 -2.008373266 0.779926197
4.635522688 -2.014217953 0.781283093
4.637341347 -2.009351745 0.783073742
4.640870132 -1.993305858 0.783470832
4.64607959 -1.962940493 0.782187262
4.653994994 -1.919519366 0.779662424
4.663469813 -1.867791361 0.777437448
4.673666538 -1.809799942 0.776190943
4.684629709 -1.748878819 0.775234177
4.69690896 -1.688675387 0.773144773
4.710510069 -1.632022416 0.769371122
4.724291754 -1.582056578 0.763793974
4.736321173 -1.5422937 0.757600637
4.746246808 -1.515658797 0.753000249
4.751305124 -1.501464197 0.749421464
4.752212429 -1.496997982 0.74673177
4.75039423 -1.500217269 0.745816875
4.746873435 -1.511654985 0.747180093
4.740045164 -1.535186864 0.748946225
4.728319573 -1.571894282 0.751090454
4.713451419 -1.617522551 0.753641952
4.697632295 -1.671710628 0.755905288
4.681125969 -1.730904392 0.756274275
4.664157696 -1.788910202 0.754020737
4.648854154 -1.841341721 0.75090587
4.634573299 -1.881690658 0.748474402
4.618503637 -1.90965223 0.746134743
4.60663023 -1.932099117 0.743125546
4.600794373 -1.952273884 0.739639458
4.605330187 -1.972408742 0.737509751
4.62495601 -1.989920269 0.736439468
4.65797905 -2.000361029 0.736170247
4.697932753 -1.999971684 0.735676034
4.741151422 -1.991869291 0.734077901
4.78465365 -1.976572048 0.733660564
4.82577317 -1.951154822 0.736259046
4.860582224 -1.914770884 0.740708141
4.885220251 -1.87102773 0.743962372
4.898986146 -1.819600122 0.743766497
4.900952721 -1.759294054 0.741380346
4.89016419 -1.693242789 0.739551469
4.865533686 -1.628167604 0.740268835
4.827660135 -1.573851061 0.743385302
4.780205487 -1.5366099 0.746348292
4.72419194 -1.519895639 0.747764434
4.66352113 -1.524537204 0.747467524
4.604369374 -1.549927838 0.747130154
4.550983269 -1.594046827 0.747636251
4.508953697 -1.652678128 0.748866573
4.481799696 -1.719305951 0.749580503
4.470653183 -1.787762283 0.748009266
4.476958302 -1.852783734 0.744963915
4.4987585 -1.910170545 0.742664892
4.532524537 -1.957159744 0.74055689
4.573760783 -1.991500943 0.736631825
4.620067532 -2.011796401 0.730701119
4.667011328 -2.015177535 0.723784024
4.713746484 -2.002176151 0.717635594
4.757837898 -1.975097018 0.712368136
4.79714364 -1.934313156 0.70893969
4.828220874 -1.881862202 0.709477402
4.8471959 -1.821397594 0.714193385
4.854434648 -1.756599096 0.721155263
4.850707509 -1.693247206 0.728793038
4.838913089 -1.634507021 0.734017415
4.818615526 -1.584064394 0.737848648
4.78793599 -1.543433779 0.744156046
4.749733397 -1.514531987 0.751965897
4.707974108 -1.501745824 0.759406003
4.666103641 -1.507008925 0.765849393
4.627265283 -1.53062733 0.771518298
4.593820471 -1.569834236 0.778200414
4.56830906 -1.621974277 0.786079427
4.554207398 -1.681136974 0.791034113
4.554686824 -1.739948988 0.792915498
4.57148419 -1.790526556 0.794323225
4.602262485 -1.823842287 0.795641754
4.642663113 -1.837925358 0.796813082
4.688830476 -1.837915327 0.797516288
4.737137689 -1.832756856 0.800997213
4.785274027 -1.83337312 0.808604838
4.829556261 -1.846818945 0.816475315
4.865622055 -1.874829685 0.822975262
4.888576915 -1.912528549 0.827386413
4.895676064 -1.952999938 0.830314887
4.887482998 -1.989787982 0.832693362
4.867334265 -2.022417448 0.834737428
4.838912797 -2.049174039 0.837262758
4.804880261 -2.062803598 0.840647674
4.765905685 -2.058734882 0.843099603
4.724611838 -2.036568769 0.843953704
4.685465369 -1.999032553 0.843036817
4.651185907 -1.948538994 0.839101939
4.62157598 -1.890091838 0.832799741
4.601655492 -1.830600366 0.824903477
4.594190304 -1.77396045 0.816251505
4.599655399 -1.723676819 0.804355742
4.615425517 -1.686846696 0.789362306
4.637247917 -1.668916822 0.774156651
4.658392353 -1.670425869 0.759257025
4.67147233 -1.685310858 0.745857475
4.670177297 -1.702831016 0.735156412
4.654422342 -1.718586269 0.725760167
4.631263769 -1.731134943 0.711903327
4.606582146 -1.741724857 0.692233478
4.584541797 -1.752367874 0.668607161
4.563763892 -1.760330656 0.644668467
4.54444018 -1.76642209 0.621731703
4.528855859 -1.772024241 0.602368754
4.517178405 -1.775258168 0.588047729
4.509493048 -1.776807245 0.579459311
4.503670703 -1.778271337 0.573041422
4.499776341 -1.778781736 0.568073245
4.497139844 -1.77927673 0.564456862
4.495404644 -1.77911784 0.560794102
4.494338403 -1.778791475 0.559512303
4.494657202 -1.777463768 0.558443103
4.49504568 -1.777241685 0.558549375
4.49579022 -1.778328979 0.558901679
4.496055811 -1.778397179 0.558733202
4.49617373 -1.778368328 0.558712224
4.496291771 -1.778476045 0.558653348
4.496455241 -1.778568972 0.558575862
4.496434833 -1.778477141 0.558492876
4.496426257 -1.778399309 0.558437054
4.496383689 -1.778400016 0.558372947
4.496347106 -1.77838412 0.55841316
4.496261526 -1.77846625 0.558523871
4.496089459 -1.778503548 0.558574191
4.495982929 -1.778481502 0.558648784
4.495903405 -1.778435375 0.558658156
4.496047372 -1.778329772 0.558703158
4.496005124 -1.778367403 0.558768239
4.495985366 -1.778311571 0.558822575
4.495987635 -1.778186021 0.558707576
4.49589763 -1.778303507 0.5586538
4.495952493 -1.778339275 0.55872925
4.495984224 -1.778361497 0.558749481
4.495974548 -1.77835567 0.55870465
4.495996041 -1.778339375 0.558679067
4.496024545 -1.778367225 0.558781745
4.49601122 -1.778346274 0.558792866
4.495968336 -1.778318128 0.558724913
4.496028904 -1.778311352 0.558746038
4.496030554 -1.778339154 0.558782323
4.49601748 -1.778341501 0.558868426
4.495966555 -1.778270055 0.558792636
4.495999887 -1.778295467 0.558854046
4.496080108 -1.778342836 0.559053729
4.496050005 -1.778299579 0.558856706
4.496088342 -1.778253515 0.558783883
4.496038612 -1.778262165 0.558740306
4.496016605 -1.778318744 0.558779421
4.496057599 -1.778313736 0.558778466
4.496040745 -1.778291722 0.558792597
4.496023052 -1.778251293 0.558791854
4.496061942 -1.778234312 0.558768343
4.496049995 -1.778288376 0.558729626
4.496070103 -1.778336601 0.558687156
4.496106508 -1.778359866 0.558686623
4.496168035 -1.778384795 0.558699762
4.496093347 -1.778656056 0.558827231
4.495995867 -1.778920056 0.55892035
4.495819819 -1.778742943 0.558845127
4.495827981 -1.778440118 0.558968166
4.496085958 -1.778169131 0.558962051
4.495974015 -1.778129266 0.559024314
4.495968881 -1.778231931 0.558899176
4.495900952 -1.77830831 0.558803471
4.496053943 -1.778470163 0.558710188
4.496111989 -1.778360614 0.558633198
4.496156354 -1.778294658 0.558711423
4.496163856 -1.778415964 0.558716873
4.496219685 -1.778570277 0.558754688
4.496248428 -1.778425107 0.558862322
4.496204785 -1.778236664 0.558942226
4.496321685 -1.77858606 0.559080186
4.496504741 -1.778892726 0.558975566
4.496351265 -1.778946392 0.558870587
4.496461834 -1.779012736 0.558704953
4.496767786 -1.778909125 0.55847469
4.496883651 -1.778541108 0.558428183
4.496818793 -1.778270092 0.558683616
4.496864602 -1.778430055 0.559004456
4.497001166 -1.778722701 0.558932938
4.496944157 -1.778898653 0.558883984
4.496894658 -1.778978111 0.558822239
4.496940864 -1.778933985 0.558751465
4.496857586 -1.778873954 0.558666736
4.496882428 -1.778805817 0.558594282
4.496887752 -1.77876959 0.558636022
4.496904421 -1.778801915 0.558668756
4.49683868 -1.778840052 0.558616187
4.496825614 -1.778784257 0.558694822
4.496924838 -1.778773691 0.558771044
4.496944354 -1.778784131 0.558853653
4.496965345 -1.778771208 0.558756086
4.496960043 -1.778714263 0.558661722
4.496847511 -1.778667464 0.558671149
4.496783811 -1.778810789 0.558718493
4.496809493 -1.778887073 0.55872545
4.496927087 -1.778952404 0.558755136
4.497043479 -1.778851129 0.558719606
4.497023772 -1.778783318 0.558761872
4.496875416 -1.778742346 0.558771913
4.496873828 -1.778722971 0.55876467
4.496877538 -1.778710661 0.558774779
4.496884646 -1.778713392 0.558711734
4.4969358 -1.778801893 0.55865111
4.497026368 -1.77881884 0.558705626
4.496959745 -1.778811955 0.558796925
4.496878859 -1.778798806 0.558740917
4.496873917 -1.778842558 0.558703999
4.496826408 -1.778845623 0.558698727
4.496877789 -1.778852898 0.558672699
4.496912491 -1.778807422 0.558658438
4.496961218 -1.778799534 0.558629716
4.49695798 -1.778826644 0.558691326
4.496880443 -1.778795569 0.558745922
4.496896278 -1.778859982 0.558780311
4.496990885 -1.77886338 0.558728245
4.497047168 -1.778859356 0.558661913
4.497040863 -1.77891094 0.558677806
4.496990754 -1.778846602 0.558712415
4.496851374 -1.778803971 0.558713438
4.496607969 -1.778733453 0.558765018
4.496723613 -1.778827458 0.558626148
4.496715262 -1.778901622 0.5585885
4.496773567 -1.778858321 0.55866181
4.496942979 -1.778936214 0.558590005
4.496956458 -1.778850517 0.558615067
4.496954818 -1.778684357 0.558719378
4.496855251 -1.778562302 0.558807392
4.496559804 -1.778663761 0.558781083
4.496143112 -1.778581025 0.558780827
4.495948592 -1.778558605 0.558859967
4.496054684 -1.77856233 0.558586309
4.496288936 -1.77847171 0.558367318
4.496512356 -1.778628676 0.55867577
4.496633002 -1.778686433 0.558812348
4.496862574 -1.778403878 0.558786326
4.497111015 -1.778653713 0.558681266
4.497183293 -1.778518117 0.558447162
4.497052885 -1.778651562 0.55895352
4.496296445 -1.778425566 0.55919166
4.495572232 -1.778511992 0.559471973
4.496363303 -1.778820102 0.559466152
4.498672084 -1.779043225 0.558610194
4.503797934 -1.776525587 0.557590627
4.513303684 -1.770106768 0.556351974
4.525908428 -1.761722252 0.55476916
4.541821056 -1.752235853 0.555216264
4.559666162 -1.741537193 0.561022991
4.575774526 -1.731219527 0.574100175
4.586763132 -1.722214429 0.594526804
4.590097764 -1.714679593 0.615243411
4.591489295 -1.708896642 0.628323463
4.591090672 -1.703510923 0.640740244
4.588517218 -1.69913572 0.656416866
4.583880404 -1.696005422 0.675562228
4.577017358 -1.693982847 0.697030631
4.568121153 -1.692188562 0.718113947
4.557425419 -1.691538653 0.737552516
4.544493405 -1.691746311 0.755424701
4.529408148 -1.692697641 0.771335987
4.51098022 -1.692527975 0.784787251
4.488665013 -1.688309399 0.796006482
4.464123115 -1.679843595 0.806857316
4.439364148 -1.668222908 0.816854639
4.415776631 -1.653691929 0.825838487
4.397673673 -1.639533879 0.833260916
4.382833992 -1.624315505 0.839343557
4.368179563 -1.605627768 0.845605895
4.353424742 -1.583086328 0.849828001
4.337800874 -1.557410002 0.851342406
4.321410677 -1.530548274 0.850678927
4.30618629 -1.503980235 0.852165678
4.293731754 -1.477809477 0.861721536
4.284833859 -1.452965833 0.880216202
4.278659853 -1.429281999 0.905375441
4.272650066 -1.405755446 0.929806824
4.265712067 -1.382043703 0.94976662
4.257507879 -1.358107898 0.9630754
4.245848012 -1.333154927 0.971466275
4.230702089 -1.306576317 0.97594936
4.213177296 -1.275789912 0.975030044
4.194817372 -1.240758877 0.969803414
4.175662268 -1.200412501 0.964267248
4.158918516 -1.15565887 0.963758826
4.139441914 -1.106756655 0.968762752
4.119049019 -1.054938608 0.979729045
4.098378313 -1.002454578 0.987385673
4.078427713 -0.949791791 0.988578293
4.059154901 -0.89670731 0.983029607
4.040982932 -0.843522467 0.972624236
4.023443435 -0.790686302 0.959707201
4.006145347 -0.738325573 0.95199522
3.988748137 -0.686699663 0.950565852
3.972405259 -0.635447825 0.94868352
3.957016606 -0.583653694 0.933568216
3.942101082 -0.530815087 0.906279975
3.926043865 -0.478000165 0.87760912
3.909412543 -0.426877248 0.855879809
3.892861544 -0.378408985 0.842756244
3.877016657 -0.332476415 0.837873138
3.863717506 -0.288679724 0.839431737
3.848887079 -0.246402852 0.849598801
3.833758071 -0.205224231 0.869602364
3.82164295 -0.164811079 0.894071966
3.809675595 -0.124755614 0.914296176
3.797363829 -0.085904807 0.928036228
3.785075517 -0.04888804 0.934472224
3.772394764 -0.013460978 0.933588564
3.757253341 0.022224204 0.932491822
3.737895619 0.060026224 0.938909548
3.717103825 0.099670554 0.953035966
3.694665362 0.142314703 0.974396086
3.673188227 0.188077812 1.001930607
3.65311644 0.236700024 1.028959789
3.633228628 0.288058761 1.051038217
3.61401268 0.340956208 1.06854783
3.595176726 0.395677799 1.081171073
3.576509366 0.451284778 1.092236382
3.558226727 0.50718126 1.101268248
3.540289203 0.562394931 1.10588196
3.52254567 0.616211496 1.105170624
3.50448463 0.668727586 1.104302558
3.485192213 0.71999739 1.107670556
3.465257492 0.768852603 1.116303412
3.445267653 0.813928532 1.131026834
3.424009763 0.854886446 1.150257238
3.401025632 0.892808038 1.165871763
3.376164298 0.927459788 1.174828141
3.348671738 0.959985961 1.175911155
